filepath,line_count,topic,summary,utility
archived-docs/pre202602/ACTIVE-Reference/AR001-CONSOLIDATED_FEATURE_PMF_JOURNEY_MATRIX.md,427,user journey,Consolidated Feature PMF + Journey Matrix (Shreyas Doshi Lens),HIGH
archived-docs/pre202602/ACTIVE-Reference/AR002-CONSOLIDATED_FEATURE_POSSIBILITIES_DEDUP.md,2512,code analysis,Consolidated Feature Possibilities (Deduplicated Union),HIGH
archived-docs/pre202602/ACTIVE-Reference/AR003-CR-cachebro-202601.md,296,graph algorithms,CR-cachebro-202601: Cachebro Competitive Research Thesis,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR004-CR-codex-architecture.md,1212,architecture,CR-codex-architecture: OpenAI Codex Deep Architecture Analysis,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR005-CR-codex-eli5-ascii-summary.md,203,implementation plan,CR-codex-eli5-ascii-summary.md,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR006-CR-codex-graph-overview.md,334,graph algorithms,CR-codex-graph-overview.md,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR007-CR-codex-implications.md,676,code analysis,CR-codex-v200-implications.md,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR008-CR-codex-vs-factory-droid.md,958,architecture,CR-codex-vs-factory-droid.md,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR009-CR-factory-droid-202601.md,489,code analysis,CR-factory-droid-202601: Factory Droid Binary Decompilation Thesis,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR010-CR-v173-01.md,581,tree-sitter,CR-v173-01: Low Coverage Repos - Parse Failure Analysis,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR011-CR-v173-02.md,562,CozoDB queries,CR-v173-02: Competitor Code Patterns -- Deep Parseltongue Analysis,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR012-CR-v173-03.md,1019,API design,CR-v173-03: Competitor Feature Deep-Dive -- Code-Level Analysis,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR013-CR-v173-04-oh-my-pi.md,248,code analysis,CR-v173-04: oh-my-pi Competitive Deep-Dive,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR014-CR07-codex-research-progress-tracker.md,336,research,CR07 Codex Research Progress Tracker,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR015-ES-Decision-log-01.md,7,decision log,Moved,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR016-ES-Dependency-Graph-Contract-Hardening.md,102,graph algorithms,ES-V200-Dependency-Graph-Contract-Hardening,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR017-ES-Hashing-Risks-v01.md,1188,debugging,ES-V200-Hashing-Risks-v01,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR018-ES-User-Journey-01.md,515,user journey,ES-V200-User-Journey-01,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR019-ES-User-Journey-Addendum-Tauri-CLI-Philosophy.md,519,Tauri research,ES-V200-User-Journey-Addendum: Tauri App Philosophy,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR020-ES-attempt-01.md,462,architecture,ES-V200-attempt-01: Executable Contract Ledger (Design101 Style),HIGH
archived-docs/pre202602/ACTIVE-Reference/AR021-FINAL_FEATURE_EXTRACTION_MASTER_TABLE.md,754,architecture,Parseltongue v2.0 Feature Extraction Master Table,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR022-IMPLEMENTATION-v173-slim-snapshot-plan.md,285,implementation plan,IMPLEMENTATION: v1.7.3 Slim Snapshot Plan,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR023-MASTER_FEATURE_EXTRACTION_TABLE.md,271,code analysis,Parseltongue Master Feature Extraction Table,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR024-PRD-Level01.md,19,PRD,PRD: Parseltongue v2.0.0,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR025-PRD_v173.md,1336,PRD,PRD: Parseltongue v1.7.3 — Dual-Mode Graph Server + MCP + Desktop App,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR026-Prep-Competitive-Deep-Dive.md,694,tree-sitter,Prep-V200: Competitive Deep Dive,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR027-Prep-Compiled-Research-Best-Ideas.md,544,research,Prep-V200-Compiled-Research-Best-Ideas,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR028-Prep-Cross-Language-Detection-Heuristics.md,1821,tree-sitter,Prep Doc: Cross-Language Boundary Detection Heuristics for v2.0.0,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR029-Prep-Datalog-Ascent-Rule-Patterns.md,1326,idiomatic patterns,Prep: Datalog Ascent Rule Patterns for Parseltongue v2.0.0,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR030-Prep-Key-Format-Design.md,761,CozoDB queries,Prep: v2.0.0 Key Format Design,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR031-Prep-LLM-Context-Optimization-Research.md,1070,research,Prep-V200: LLM Context Optimization Research,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR032-Prep-MCP-Protocol-Integration.md,1553,MCP research,Prep-V200: MCP Protocol Integration Research,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR033-Prep-Max-Adoption-Architecture-Strategy.md,1195,tree-sitter,Prep-V200: Max Adoption Architecture Strategy,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR034-Prep-Rust-Analyzer-API-Surface.md,968,implementation plan,Prep Doc: rust-analyzer API Surface for Parseltongue v2.0.0,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR035-Prep-Tree-Sitter-Query-Patterns.md,1723,idiomatic patterns,Prep Doc: Tree-Sitter Query Patterns for Parseltongue v2.0.0,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR036-Prep-isgl1-ambiguity-risk-table.md,770,tree-sitter,v200: ISGL1 Key Format Ambiguity & Risk Assessment (Expanded),HIGH
archived-docs/pre202602/ACTIVE-Reference/AR037-Priortization-v173.md,812,CozoDB queries,Final Priority to add,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR039-RESEARCH-v173-rustanalyzer-semantic-supergraph.md,645,research,RESEARCH: v173-rustanalyzer-semantic-supergraph,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR040-Research-Extraction-Tools-Per-Language.md,1597,research,Research: Dependency Extraction Tools Per Language,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR041-THESIS-v173-slim-graph-address-model.md,470,thesis,THESIS: v1.7.3 — Slim Graph+Address Model for pt02/pt03,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR042-ZAI-PRD-contracts-01.md,763,PRD,PRD Contracts: Parseltongue v2.0.0,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR043-ZAI-PRD-contracts-02.md,969,PRD,PRD Contracts: Parseltongue V200 FINAL,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR044-ZAI-REUSABLE-Patterns-01.md,839,idiomatic patterns,ZAI-REUSABLE-Patterns-01.md: V200 Pattern Extraction from v173,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR045-ZAI-doc-progress-tracker.md,98,research,V200 Documentation Analysis Progress Tracker,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR046-drawio-diagram-lessons-learned.md,251,code analysis,Draw.io Diagram Lessons Learned,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR048-v173-pt04-bidirectional-workflow.md,2261,workflow,v1.7.3 — pt04 Bidirectional Workflow: Compiler Truth + LLM Judgment,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR049-v199-Notes.md,493,architecture,Prep Doc: Parseltongue v2.0.0,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR050-FUJ-Final-User-Journey.md,2152,user journey,v200 Final User Journey (FUJ),HIGH
archived-docs/pre202602/ACTIVE-Reference/AR052-v210-backlog.md,83,tree-sitter,v210-backlog,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR053-Research-Graph-Workflow-Internet-Synthesis-20260227.md,207,research,AR053: Internet Synthesis for Graph + Dependency Workflows,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR054-CR-codemogger-v200-options-20260227.md,180,research,AR054: Codemogger Analysis for Parseltongue V200 PRD,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR055-ACTIVE-reference-Consolidated-Summary-20260227.md,87,tree-sitter,AR055: ACTIVE-reference Consolidated Summary (AR000-AR054),HIGH
archived-docs/pre202602/ACTIVE-Reference/ES-V200-arch-patterns-01.md,330,idiomatic patterns,v200-arch-patterns-01,HIGH
archived-docs/pre202602/ACTIVE-Reference/ES-V200-cocoindex-options-01.md,174,code analysis,ES-V200 Option Set from Cocoindex Code Study,HIGH
archived-docs/pre202602/ACTIVE-Reference/ES-V200-options-ELI5-mermaid.md,135,research,ES-V200 Options (ELI5) with Mermaid,HIGH
archived-docs/pre202602/ACTIVE-Reference/THESIS-supermodel-competitive-analysis.md,908,thesis,THESIS: Supermodel Competitive Analysis,HIGH
archived-docs/pre202602/ACTIVE-Reference/computer-research/01-RUSTC-COMPILER-GRAPH-CFG-DFG-RESEARCH-20260301.md,209,research,Rust Compiler Research for Parseltongue (Code Graph + Control Flow + Data Flow),HIGH
archived-docs/pre202602/ACTIVE-Reference/cross-domain/12-social-network-transfer.md,363,graph algorithms,Social Network Analysis Algorithms: Transferable Patterns for Code Analysis,HIGH
archived-docs/pre202602/ACTIVE-Reference/cross-domain/13-fraud-detection-transfer.md,611,graph algorithms,Fraud Detection Graph Algorithms: Transfer Patterns for Code Analysis,HIGH
archived-docs/pre202602/ACTIVE-Reference/encyclopedia/01-centrality-algorithms.md,644,graph algorithms,Centrality Algorithms for Code Graphs,HIGH
archived-docs/pre202602/ACTIVE-Reference/encyclopedia/02-community-detection.md,670,architecture,Community Detection Algorithms for Code Graphs,HIGH
archived-docs/pre202602/ACTIVE-Reference/encyclopedia/03-traversal-search.md,630,graph algorithms,Graph Traversal & Search Algorithms for Code Graphs,HIGH
archived-docs/pre202602/ACTIVE-Reference/encyclopedia/07-gnn-architectures.md,548,architecture,Graph Neural Network Architectures for Code Graphs,HIGH
archived-docs/pre202602/ACTIVE-Reference/implementation/16-petgraph-ecosystem.md,447,graph algorithms,petgraph Ecosystem Analysis,HIGH
archived-docs/pre202602/ACTIVE-Reference/implementation/17-performance-optimization.md,1142,graph algorithms,Performance Optimization Strategies for Graph Algorithms at Scale,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/01-hir-ty-patterns.md,1015,idiomatic patterns,Idiomatic Rust Patterns: hir-ty (Type System & Inference),HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/02-hir-def-patterns.md,1151,idiomatic patterns,Idiomatic Rust Patterns: hir-def (Definition Layer),HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/03-syntax-parser-patterns.md,1188,idiomatic patterns,Idiomatic Rust Patterns: Syntax & Parser,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/04-ide-features-patterns.md,1562,idiomatic patterns,Idiomatic Rust Patterns: IDE Features Layer,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/05-ide-assists-patterns.md,1240,idiomatic patterns,Idiomatic Rust Patterns: IDE Assists (Code Actions),HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/06-ide-completion-patterns.md,1253,idiomatic patterns,Idiomatic Rust Patterns: IDE Completion Engine,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/07-ide-db-patterns.md,1391,idiomatic patterns,Idiomatic Rust Patterns: IDE Database Layer,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/08-hir-facade-expand-patterns.md,1863,idiomatic patterns,Idiomatic Rust Patterns: HIR Facade & Macro Expansion,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/09-lsp-server-patterns.md,1921,idiomatic patterns,Idiomatic Rust Patterns: LSP Server Implementation,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/10-vfs-base-db-patterns.md,2462,idiomatic patterns,Idiomatic Rust Patterns: VFS & Base Database,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/11-project-model-patterns.md,1351,idiomatic patterns,Idiomatic Rust Patterns: Project Model,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/12-token-tree-macro-patterns.md,2801,idiomatic patterns,Idiomatic Rust Patterns: Token Trees & Macro Infrastructure,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/13-utility-crates-patterns.md,4576,idiomatic patterns,Idiomatic Rust Patterns: Utility Crates,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/14-lib-arena-lsp-patterns.md,3283,idiomatic patterns,Idiomatic Rust Patterns: Library Crates,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/15-ide-diagnostics-patterns.md,2895,idiomatic patterns,Idiomatic Rust Patterns: IDE Diagnostics,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/16-proc-macro-server-patterns.md,1903,idiomatic patterns,Idiomatic Rust Patterns: Proc Macro Server,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/17-test-infrastructure-patterns.md,1722,idiomatic patterns,Idiomatic Rust Patterns: Test Infrastructure,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/18-xtask-codegen-patterns.md,2325,idiomatic patterns,Idiomatic Rust Patterns: XTask & Code Generation,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/19-cross-cutting-architecture-patterns.md,2034,idiomatic patterns,Idiomatic Rust Patterns: Cross-Cutting Architecture,HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/20-ssr-span-cfg-patterns.md,2814,idiomatic patterns,"Idiomatic Rust Patterns: SSR, Span, Cfg & Bridge Crates",HIGH
archived-docs/pre202602/ACTIVE-Reference/rust-analyzer/ANALYSIS_STATE.md,147,design doc,rust-analyzer Idiomatic Patterns Analysis State,HIGH
archived-docs/pre202602/ACTIVE-Reference/strategy/18-competitive-landscape.md,433,graph algorithms,Competitive Landscape Analysis,HIGH
archived-docs/pre202602/ACTIVE-Reference/strategy/19-moat-building.md,445,code analysis,Competitive Moat-Building Strategy for Parseltongue,HIGH
archived-docs/pre202602/ACTIVE-Reference/strategy/20-research-agenda.md,598,research,Research Agenda for Parseltongue,HIGH
archived-docs/pre202602/ARCHIVE/A00_preserved_code_patterns/ISGL1-v2-key-generation-system.md,917,graph algorithms,ISGL1 v2 Key Generation System,HIGH
archived-docs/pre202602/ARCHIVE/CR-delegate-agent-coordination.md,337,agent config,CR-delegate-agent-coordination.md,HIGH
archived-docs/pre202602/ARCHIVE/CR-delegate-parseltongue-integration.md,335,code analysis,CR-delegate-parseltongue-integration.md,MEDIUM
archived-docs/pre202602/ARCHIVE/CR-delegate-research-summary.md,480,research,CR-delegate-research-summary.md,MEDIUM
archived-docs/pre202602/ARCHIVE/CR-droid-factory-20260219/factory-droid/CR-factory-droid-control-flow-202601.md,728,architecture,"CR-factory-droid-control-flow-202601: Control Flow, Data Flow & Claude Code Differentiation",HIGH
archived-docs/pre202602/ARCHIVE/Firebolt-PRD-20260202/PRD-v001.md,0,PRD,(empty file),OBSOLETE
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/00_EXECUTIVE_SUMMARY.md,388,PRD,Parseltongue v1.7-v1.9: Arize Agent Memory Patterns - Executive Summary,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/01_ARCHITECTURE_OVERVIEW.md,160,PRD,Parseltongue Architecture Overview,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/02_V16_PRD_IDEAS_EXTRACTED.md,451,PRD,Parseltongue v1.6: Agent-Native PRD Extraction,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/03_V17_V19_ARIZE_PATTERNS_EXTRACTED.md,1107,PRD,Parseltongue v1.7-v1.9: Arize Agent Harness Pattern Extraction,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/04_VISUAL_ROADMAP_V14_TO_V19.md,568,PRD,Parseltongue Visual Roadmap: v1.4.2 → v1.9,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/MERMAID_SYNTAX_GUIDE.md,449,PRD,Mermaid Syntax Guide: Common Mistakes to Avoid,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/PARSELTONGUE_V2_BIDIRECTIONAL_LLM_ENHANCEMENT.md,1003,PRD,Parseltongue v2.0+: Bidirectional LLM-CPU Feature Enhancement,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/PARSELTONGUE_V2_FEATURES_ELI10.md,561,PRD,Parseltongue v2.0+ Features: Explained Simply (ELI10),HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/PARSELTONGUE_V2_FEATURES_MERMAID_DIAGRAMS.md,594,PRD,Parseltongue v2.0+ Features: Mermaid Diagram Visualizations,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/PARSELTONGUE_V2_FEATURES_RESEARCH_BACKED.md,2575,PRD,Parseltongue v2.0+ Feature Extraction: Research-Backed Roadmap,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/PARSELTONGUE_V2_LLM_AGENT_INTERACTIONS.md,643,PRD,Parseltongue v2.0+: LLM Agent Interaction Patterns,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/PRD-candidates-20260130.md,542,PRD,PRD-v144: Parseltongue Comprehensive Feature Roadmap,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/PRD-candidates-20260131.md,145,PRD,Research reveals MCP is UNSUITABLE for Parseltongue,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/PRD-v142-Parseltongue.md,1077,PRD,Product Requirements Document: Parseltongue,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/QUICK_REFERENCE_7_PRDS.md,341,PRD,Quick Reference: 7 PRD Ideas for v1.7-v1.9,HIGH
archived-docs/pre202602/ARCHIVE/PRD-research-20260131v1/README.md,267,PRD,Parseltongue Research Documentation - v1.6 Planning,HIGH
archived-docs/pre202602/ARCHIVE/drawio-diagram-guide-llm-enhanced.md,1204,architecture,Draw.io Diagram Guide — LLM-Enhanced Edition,HIGH
archived-docs/pre202602/ARCHIVE/pre154/BUG-ANALYSIS-v1.5.1-qualified-name-key-format.md,308,release notes,Bug Analysis: Qualified Name Key Format Issues (v1.5.1),OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/BUGFIX-csharp-edge-detection-v1.4.8.md,327,release notes,Bug Fix Implementation: C# Edge Detection (v1.4.8),OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/CK_METRICS_QUICK_REFERENCE.md,185,metrics,CK Metrics Suite - Quick Reference Card,MEDIUM
archived-docs/pre202602/ARCHIVE/pre154/IMPLEMENTATION-REPORT-java-v1.4.9.md,400,release notes,Java Dependency Pattern Implementation Report (v1.4.9),OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/IMPLEMENTATION-REPORT-typescript-v1.4.9.md,428,release notes,Implementation Report: TypeScript Dependency Patterns v1.4.9,OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/PHASE5_CK_METRICS_VERIFICATION.md,179,verification,CK Metrics Suite Implementation Verification,OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/PHASE5_COMPLETION_CHECKLIST.md,416,design doc,Phase 5 Completion Checklist - CK Metrics Suite,MEDIUM
archived-docs/pre202602/ARCHIVE/pre154/PHASE5_IMPLEMENTATION_SUMMARY.md,309,implementation plan,Phase 5 Implementation Summary - CK Metrics Suite,MEDIUM
archived-docs/pre202602/ARCHIVE/pre154/RELEASE-CHECKLIST-v1.5.0.md,328,release notes,Release Checklist: Parseltongue v1.5.0,OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/RELEASE-PROGRESS-v1.5.0.md,287,release notes,Release Progress: v1.5.0,OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/SESSION-CONTEXT-20260202.md,407,architecture,Session Context Dump - 2026-02-02,HIGH
archived-docs/pre202602/ARCHIVE/pre154/TDD-PROGRESS-v1.4.9-dependency-patterns.md,1883,TDD journal,TDD Progress Tracker: v1.4.9 Multi-Language Dependency Patterns,MEDIUM
archived-docs/pre202602/ARCHIVE/pre154/TDD-PROGRESS-v1.5.0-batch-insertion.md,763,TDD journal,TDD Progress Tracker: v1.5.0 Batch Entity Insertion,HIGH
archived-docs/pre202602/ARCHIVE/pre154/TDD-SPEC-multi-language-dependency-patterns-v1.4.9.md,2339,TDD journal,TDD Specification: Multi-Language Dependency Pattern Enhancement v1.4.9,MEDIUM
archived-docs/pre202602/ARCHIVE/pre154/TDD-SPEC-v1.5.0-ingestion-performance.md,968,TDD journal,TDD Specification: v1.5.0 Ingestion Performance Optimization,HIGH
archived-docs/pre202602/ARCHIVE/pre154/THESIS-ingestion-speed-optimization-v1.5.0.md,389,release notes,THESIS: Parseltongue Ingestion Speed Optimization,OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/THESIS-parsing-vulnerability-qualified-names-v1.5.1.md,457,release notes,Parsing Vulnerability Thesis: Qualified Name Key Format Issues,OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/UserJourney20260202v1.md,572,user journey,Parseltongue v1.4.7 User Journey - Complete API Testing,HIGH
archived-docs/pre202602/ARCHIVE/pre154/csharp-patterns-quick-reference.md,223,idiomatic patterns,C# Dependency Patterns - Quick Reference,MEDIUM
archived-docs/pre202602/ARCHIVE/pre154/csharp-remaining-patterns-completion.md,309,idiomatic patterns,C# Remaining Dependency Patterns - Completion Report,MEDIUM
archived-docs/pre202602/ARCHIVE/pre154/phase2-batch-insertion-complete.md,171,code analysis,Phase 2: Batch Entity Insertion - COMPLETE ✅,MEDIUM
archived-docs/pre202602/ARCHIVE/pre154/v1.5.0-IMPLEMENTATION-SUMMARY.md,259,release notes,v1.5.0 Implementation Summary,OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/v148-ruby-rails-language-verification-20260203.md,495,verification,Ruby and Rails Language Support Verification - v1.4.8,OBSOLETE
archived-docs/pre202602/ARCHIVE/pre154/v149-go-dependency-patterns-implementation-20260206.md,436,idiomatic patterns,Go Dependency Patterns Implementation (v1.4.9),MEDIUM
archived-docs/pre202602/ARCHIVE/pre154/v151-CRITICAL-BUG-zero-edges-csharp-typescript.md,276,debugging,CRITICAL BUG: Zero Edges for C# and TypeScript,LOW
